Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,16C,Tees Valley,A81001,The Densham Surgery (A81001),4019,0.8170000000000001,8120,607,8172,0.994,0.075,0.074
North East and Yorkshire,16C,Tees Valley,A81002,Queens Park Medical Centre (A81002),18288,0.863,37318,10937,37357,0.999,0.293,0.293
North East and Yorkshire,16C,Tees Valley,A81004,Acklam Medical Centre (A81004),11209,0.8140000000000001,18558,7163,18561,1.0,0.386,0.386
North East and Yorkshire,16C,Tees Valley,A81005,Springwood Surgery (A81005),8032,0.835,16682,7561,16727,0.997,0.4529999999999999,0.452
North East and Yorkshire,16C,Tees Valley,A81006,Tennant Street Medical Practice (A81006),14407,0.8190000000000001,30425,3378,30442,0.999,0.111,0.111
North East and Yorkshire,16C,Tees Valley,A81007,Bankhouse Surgery (A81007),9913,0.777,17852,1638,17877,0.999,0.092,0.092
North East and Yorkshire,16C,Tees Valley,A81009,Village Medical Centre (A81009),8224,0.812,14926,6002,14942,0.999,0.402,0.402
North East and Yorkshire,16C,Tees Valley,A81011,Chadwick Practice (A81011),11556,0.815,27047,4736,27063,0.999,0.175,0.175
North East and Yorkshire,16C,Tees Valley,A81012,Westbourne Medical Centre (A81012),5234,0.789,12070,4024,12135,0.995,0.3329999999999999,0.332
North East and Yorkshire,16C,Tees Valley,A81013,Brotton Surgery (A81013),7186,0.851,16533,5830,16572,0.998,0.353,0.352
North East and Yorkshire,16C,Tees Valley,A81014,Queenstree Practice (A81014),4141,0.792,9282,619,9307,0.997,0.067,0.067
North East and Yorkshire,16C,Tees Valley,A81016,Park Surgery (A81016),11346,0.7140000000000001,18204,5556,18216,0.999,0.305,0.305
North East and Yorkshire,16C,Tees Valley,A81017,Woodbridge Practice (A81017),18871,0.821,30818,130,30956,0.996,0.004,0.004
North East and Yorkshire,16C,Tees Valley,A81018,Bentley Medical Practice (A81018),10210,0.8,26186,7792,26191,1.0,0.298,0.298
North East and Yorkshire,16C,Tees Valley,A81019,Crossfell Health Centre (A81019),8847,0.977,19456,1283,19485,0.999,0.066,0.066
North East and Yorkshire,16C,Tees Valley,A81020,Martonside Medical Centre (A81020),7922,0.8,19186,7057,19192,1.0,0.368,0.368
North East and Yorkshire,16C,Tees Valley,A81021,Normanby Medical Centre (A81021),13892,0.795,29665,12219,31080,0.954,0.412,0.3929999999999999
North East and Yorkshire,16C,Tees Valley,A81022,Hillside Practice (A81022),9601,0.825,20793,5745,20813,0.999,0.276,0.276
North East and Yorkshire,16C,Tees Valley,A81023,The Endeavour Practice (A81023),8911,0.635,12357,4422,12393,0.997,0.358,0.357
North East and Yorkshire,16C,Tees Valley,A81025,The Dovecot Surgery (A81025),4347,0.73,8798,189,8858,0.993,0.021,0.021
North East and Yorkshire,16C,Tees Valley,A81026,Linthorpe Surgery (A81026),20114,0.7609999999999999,38139,15109,38141,1.0,0.396,0.396
North East and Yorkshire,16C,Tees Valley,A81027,Yarm Medical Practice (A81027),15189,0.7959999999999999,22074,832,22106,0.999,0.038,0.038
North East and Yorkshire,16C,Tees Valley,A81029,Prospect Surgery (A81029),7272,0.615,13928,1196,13987,0.996,0.086,0.086
North East and Yorkshire,16C,Tees Valley,A81030,Borough Road & Nunthorpe Medical Group (A81030),15074,0.835,27735,8799,27739,1.0,0.317,0.317
North East and Yorkshire,16C,Tees Valley,A81031,Havelock Grange Practice (A81031),13186,0.78,25347,5993,25452,0.996,0.236,0.235
