Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
North East and Yorkshire,16C,Tees Valley,A81001,The Densham Surgery (A81001),4019,81.7%,8120,607,8172,99.4%,7.5%,7.4%
North East and Yorkshire,16C,Tees Valley,A81002,Queens Park Medical Centre (A81002),18288,86.3%,37318,10937,37357,99.9%,29.3%,29.3%
North East and Yorkshire,16C,Tees Valley,A81004,Acklam Medical Centre (A81004),11209,81.4%,18558,7163,18561,100.0%,38.6%,38.6%
North East and Yorkshire,16C,Tees Valley,A81005,Springwood Surgery (A81005),8032,83.5%,16682,7561,16727,99.7%,45.3%,45.2%
North East and Yorkshire,16C,Tees Valley,A81006,Tennant Street Medical Practice (A81006),14407,81.9%,30425,3378,30442,99.9%,11.1%,11.1%
North East and Yorkshire,16C,Tees Valley,A81007,Bankhouse Surgery (A81007),9913,77.7%,17852,1638,17877,99.9%,9.2%,9.2%
North East and Yorkshire,16C,Tees Valley,A81009,Village Medical Centre (A81009),8224,81.2%,14926,6002,14942,99.9%,40.2%,40.2%
North East and Yorkshire,16C,Tees Valley,A81011,Chadwick Practice (A81011),11556,81.5%,27047,4736,27063,99.9%,17.5%,17.5%
North East and Yorkshire,16C,Tees Valley,A81012,Westbourne Medical Centre (A81012),5234,78.9%,12070,4024,12135,99.5%,33.3%,33.2%
North East and Yorkshire,16C,Tees Valley,A81013,Brotton Surgery (A81013),7186,85.1%,16533,5830,16572,99.8%,35.3%,35.2%
North East and Yorkshire,16C,Tees Valley,A81014,Queenstree Practice (A81014),4141,79.2%,9282,619,9307,99.7%,6.7%,6.7%
North East and Yorkshire,16C,Tees Valley,A81016,Park Surgery (A81016),11346,71.4%,18204,5556,18216,99.9%,30.5%,30.5%
North East and Yorkshire,16C,Tees Valley,A81017,Woodbridge Practice (A81017),18871,82.1%,30818,130,30956,99.6%,0.4%,0.4%
North East and Yorkshire,16C,Tees Valley,A81018,Bentley Medical Practice (A81018),10210,80.0%,26186,7792,26191,100.0%,29.8%,29.8%
North East and Yorkshire,16C,Tees Valley,A81019,Crossfell Health Centre (A81019),8847,97.7%,19456,1283,19485,99.9%,6.6%,6.6%
North East and Yorkshire,16C,Tees Valley,A81020,Martonside Medical Centre (A81020),7922,80.0%,19186,7057,19192,100.0%,36.8%,36.8%
North East and Yorkshire,16C,Tees Valley,A81021,Normanby Medical Centre (A81021),13892,79.5%,29665,12219,31080,95.4%,41.2%,39.3%
North East and Yorkshire,16C,Tees Valley,A81022,Hillside Practice (A81022),9601,82.5%,20793,5745,20813,99.9%,27.6%,27.6%
North East and Yorkshire,16C,Tees Valley,A81023,The Endeavour Practice (A81023),8911,63.5%,12357,4422,12393,99.7%,35.8%,35.7%
North East and Yorkshire,16C,Tees Valley,A81025,The Dovecot Surgery (A81025),4347,73.0%,8798,189,8858,99.3%,2.1%,2.1%
North East and Yorkshire,16C,Tees Valley,A81026,Linthorpe Surgery (A81026),20114,76.1%,38139,15109,38141,100.0%,39.6%,39.6%
North East and Yorkshire,16C,Tees Valley,A81027,Yarm Medical Practice (A81027),15189,79.6%,22074,832,22106,99.9%,3.8%,3.8%
North East and Yorkshire,16C,Tees Valley,A81029,Prospect Surgery (A81029),7272,61.5%,13928,1196,13987,99.6%,8.6%,8.6%
